gadget_id,gadget_name,identifier,labels
68,iphone 6 plus  sprint  16gb  space gray,iphone6 sprint  16gb,
11,iphone 6  tmobile  64gb  silver,iphone6 tmobile  64gb,
36,iphone 6  tmobile  64gb  gold,iphone6 tmobile  64gb,
37,iphone 6  tmobile  64gb  space gray,iphone6 tmobile  64gb,
56,iphone 6 plus  tmobile  64gb  silver,iphone6 tmobile  64gb,
81,iphone 6 plus  tmobile  64gb  gold,iphone6 tmobile  64gb,
82,iphone 6 plus  tmobile  64gb  space gray,iphone6 tmobile  64gb,
3,iphone 6  tmobile  16gb  silver,iphone6 tmobile  16gb,
20,iphone 6  tmobile  16gb  gold,iphone6 tmobile  16gb,
21,iphone 6  tmobile  16gb  space gray,iphone6 tmobile  16gb,
48,iphone 6 plus  tmobile  16gb  silver,iphone6 tmobile  16gb,
65,iphone 6 plus  tmobile  16gb  gold,iphone6 tmobile  16gb,
66,iphone 6 plus  tmobile  16gb  space gray,iphone6 tmobile  16gb,
560, iphone5c  verizon  16gb  blue,iphone5c verizon  16gb,
568, iphone5c  verizon  16gb  yellow,iphone5c verizon  16gb,
569, iphone5c  verizon  16gb  pink,iphone5c verizon  16gb,
570, iphone5c  verizon  16gb  green,iphone5c verizon  16gb,
571, iphone5c  verizon  16gb  white,iphone5c verizon  16gb,
559, iphone5c  at&t  16gb  blue,iphone5c at&t  16gb,
564, iphone5c  at&t  16gb  yellow,iphone5c at&t  16gb,
565, iphone5c  at&t  16gb  pink,iphone5c at&t  16gb,
566, iphone5c  at&t  16gb  green,iphone5c at&t  16gb,
567, iphone5c  at&t  16gb  white,iphone5c at&t  16gb,
563, iphone5c  unlocked  16gb  blue,iphone5c unlocked  16gb,
580, iphone5c  unlocked  16gb  yellow,iphone5c unlocked  16gb,
581, iphone5c  unlocked  16gb  pink,iphone5c unlocked  16gb,
582, iphone5c  unlocked  16gb  green,iphone5c unlocked  16gb,
583, iphone5c  unlocked  16gb  white,iphone5c unlocked  16gb,
562, iphone5c  sprint  16gb  blue,iphone5c sprint  16gb,
576, iphone5c  sprint  16gb  yellow,iphone5c sprint  16gb,
577, iphone5c  sprint  16gb  pink,iphone5c sprint  16gb,
578, iphone5c  sprint  16gb  green,iphone5c sprint  16gb,
579, iphone5c  sprint  16gb  white,iphone5c sprint  16gb,
561, iphone5c  tmobile  16gb  blue,iphone5c tmobile  16gb,
572, iphone5c  tmobile  16gb  yellow,iphone5c tmobile  16gb,
573, iphone5c  tmobile  16gb  pink,iphone5c tmobile  16gb,
574, iphone5c  tmobile  16gb  green,iphone5c tmobile  16gb,
575, iphone5c  tmobile  16gb  white,iphone5c tmobile  16gb,
8,iphone 6  verizon  128gb  silver,iphone6 verizon  128gb,
30,iphone 6  verizon  128gb  gold,iphone6 verizon  128gb,
31,iphone 6  verizon  128gb  space gray,iphone6 verizon  128gb,
53,iphone 6 plus  verizon  128gb  silver,iphone6 verizon  128gb,
75,iphone 6 plus  verizon  128gb  gold,iphone6 verizon  128gb,
76,iphone 6 plus  verizon  128gb  space gray,iphone6 verizon  128gb,
6,iphone 6  at&t  128gb  silver,iphone6 at&t  128gb,
26,iphone 6  at&t  128gb  gold,iphone6 at&t  128gb,
27,iphone 6  at&t  128gb  space gray,iphone6 at&t  128gb,
51,iphone 6 plus  at&t  128gb  silver,iphone6 at&t  128gb,
71,iphone 6 plus  at&t  128gb  gold,iphone6 at&t  128gb,
72,iphone 6 plus  at&t  128gb  space gray,iphone6 at&t  128gb,
14,iphone 6  unlocked  128gb  silver,iphone6 unlocked  128gb,
42,iphone 6  unlocked  128gb  gold,iphone6 unlocked  128gb,
43,iphone 6  unlocked  128gb  space gray,iphone6 unlocked  128gb,
59,iphone 6 plus  unlocked  128gb  silver,iphone6 unlocked  128gb,
87,iphone 6 plus  unlocked  128gb  gold,iphone6 unlocked  128gb,
88,iphone 6 plus  unlocked  128gb  space gray,iphone6 unlocked  128gb,
12,iphone 6  sprint  128gb  silver,iphone6 sprint  128gb,
38,iphone 6  sprint  128gb  gold,iphone6 sprint  128gb,
39,iphone 6  sprint  128gb  space gray,iphone6 sprint  128gb,
57,iphone 6 plus  sprint  128gb  silver,iphone6 sprint  128gb,
83,iphone 6 plus  sprint  128gb  gold,iphone6 sprint  128gb,
84,iphone 6 plus  sprint  128gb  space gray,iphone6 sprint  128gb,
10,iphone 6  tmobile  128gb  silver,iphone6 tmobile  128gb,
34,iphone 6  tmobile  128gb  gold,iphone6 tmobile  128gb,
35,iphone 6  tmobile  128gb  space gray,iphone6 tmobile  128gb,
55,iphone 6 plus  tmobile  128gb  silver,iphone6 tmobile  128gb,
79,iphone 6 plus  tmobile  128gb  gold,iphone6 tmobile  128gb,
80,iphone 6 plus  tmobile  128gb  space gray,iphone6 tmobile  128gb,
585, iphone5c  verizon  32gb  blue,iphone5c verizon  32gb,
593, iphone5c  verizon  32gb  yellow,iphone5c verizon  32gb,
594, iphone5c  verizon  32gb  pink,iphone5c verizon  32gb,
595, iphone5c  verizon  32gb  green,iphone5c verizon  32gb,
596, iphone5c  verizon  32gb  white,iphone5c verizon  32gb,
584, iphone5c  at&t  32gb  blue,iphone5c at&t  32gb,
589, iphone5c  at&t  32gb  yellow,iphone5c at&t  32gb,
